,Combination,SUDA_Sum
0,"age, education_level, religious_importance",37
1,"age, education_level, sex",5
2,"age, education_level, handedness",10
3,"age, education_level, religious_now",5
4,"age, education_level, religious_upbringing",5
5,"age, education_level, BMI",205
6,"age, education_level, background_SES",37
7,"age, education_level, gender_identity_F",46
8,"age, education_level, gender_identity_M",48
9,"age, education_level, sexual_attraction_F",41
10,"age, education_level, sexual_attraction_M",45
11,"age, religious_importance, sex",19
12,"age, religious_importance, handedness",20
13,"age, religious_importance, religious_now",7
14,"age, religious_importance, religious_upbringing",19
15,"age, religious_importance, BMI",273
16,"age, religious_importance, background_SES",111
17,"age, religious_importance, gender_identity_F",68
18,"age, religious_importance, gender_identity_M",83
19,"age, religious_importance, sexual_attraction_F",72
20,"age, religious_importance, sexual_attraction_M",79
21,"age, sex, handedness",5
22,"age, sex, religious_now",5
23,"age, sex, religious_upbringing",5
24,"age, sex, BMI",143
25,"age, sex, background_SES",14
26,"age, sex, gender_identity_F",29
27,"age, sex, gender_identity_M",32
28,"age, sex, sexual_attraction_F",26
29,"age, sex, sexual_attraction_M",33
30,"age, handedness, religious_now",7
31,"age, handedness, religious_upbringing",5
32,"age, handedness, BMI",123
33,"age, handedness, background_SES",27
34,"age, handedness, gender_identity_F",32
35,"age, handedness, gender_identity_M",36
36,"age, handedness, sexual_attraction_F",22
37,"age, handedness, sexual_attraction_M",25
38,"age, religious_now, religious_upbringing",6
39,"age, religious_now, BMI",145
40,"age, religious_now, background_SES",18
41,"age, religious_now, gender_identity_F",31
42,"age, religious_now, gender_identity_M",39
43,"age, religious_now, sexual_attraction_F",21
44,"age, religious_now, sexual_attraction_M",30
45,"age, religious_upbringing, BMI",143
46,"age, religious_upbringing, background_SES",14
47,"age, religious_upbringing, gender_identity_F",28
48,"age, religious_upbringing, gender_identity_M",33
49,"age, religious_upbringing, sexual_attraction_F",30
50,"age, religious_upbringing, sexual_attraction_M",37
51,"age, BMI, background_SES",405
52,"age, BMI, gender_identity_F",301
53,"age, BMI, gender_identity_M",302
54,"age, BMI, sexual_attraction_F",293
55,"age, BMI, sexual_attraction_M",288
56,"age, background_SES, gender_identity_F",97
57,"age, background_SES, gender_identity_M",99
58,"age, background_SES, sexual_attraction_F",110
59,"age, background_SES, sexual_attraction_M",104
60,"age, gender_identity_F, gender_identity_M",66
61,"age, gender_identity_F, sexual_attraction_F",79
62,"age, gender_identity_F, sexual_attraction_M",85
63,"age, gender_identity_M, sexual_attraction_F",80
64,"age, gender_identity_M, sexual_attraction_M",91
65,"age, sexual_attraction_F, sexual_attraction_M",51
66,"education_level, religious_importance, sex",2
67,"education_level, religious_importance, handedness",5
68,"education_level, religious_importance, religious_now",0
69,"education_level, religious_importance, religious_upbringing",4
70,"education_level, religious_importance, BMI",157
71,"education_level, religious_importance, background_SES",34
