Combination,Unique Rows,Unique Rows Excluding Columns,Score
"AGE, INCOME, LANGUAGE",363,381,1.696969696969697
"AGE, INCOME, RACE_1",378,382,1.626984126984127
"AGE, INCOME, MARITAL_STATUS",357,380,1.7282913165266107
"AGE, INCOME, EDUCATION",381,367,1.6535433070866141
"AGE, INCOME, EMPLOYMENT",379,360,1.6807387862796834
"AGE, INCOME, LGBT_IDENTITY",321,415,1.8130841121495327
"AGE, INCOME, ETHNICITY_1",264,457,2.0454545454545454
"AGE, INCOME, GENDER",326,432,1.7331288343558282
"AGE, INCOME, WORK_NIH_CAMPUS",334,413,1.748502994011976
"AGE, LANGUAGE, RACE_1",226,510,2.1548672566371683
"AGE, LANGUAGE, MARITAL_STATUS",225,548,1.9955555555555555
"AGE, LANGUAGE, EDUCATION",254,492,1.9881889763779528
"AGE, LANGUAGE, EMPLOYMENT",229,488,2.222707423580786
"AGE, LANGUAGE, LGBT_IDENTITY",200,541,2.28
"AGE, LANGUAGE, ETHNICITY_1",163,581,2.5521472392638036
"AGE, LANGUAGE, GENDER",183,556,2.4098360655737703
"AGE, LANGUAGE, WORK_NIH_CAMPUS",204,516,2.357843137254902
"AGE, RACE_1, MARITAL_STATUS",179,536,2.5754189944134076
"AGE, RACE_1, EDUCATION",205,491,2.4682926829268292
"AGE, RACE_1, EMPLOYMENT",183,485,2.797814207650273
"AGE, RACE_1, LGBT_IDENTITY",151,535,3.0596026490066226
"AGE, RACE_1, ETHNICITY_1",107,579,3.9065420560747666
"AGE, RACE_1, GENDER",126,546,3.5793650793650795
"AGE, RACE_1, WORK_NIH_CAMPUS",163,521,2.920245398773006
"AGE, MARITAL_STATUS, EDUCATION",191,520,2.4973821989528795
"AGE, MARITAL_STATUS, EMPLOYMENT",178,504,2.769662921348315
"AGE, MARITAL_STATUS, LGBT_IDENTITY",149,573,2.8456375838926173
"AGE, MARITAL_STATUS, ETHNICITY_1",115,607,3.391304347826087
"AGE, MARITAL_STATUS, GENDER",117,589,3.4871794871794872
"AGE, MARITAL_STATUS, WORK_NIH_CAMPUS",132,543,3.4393939393939394
"AGE, EDUCATION, EMPLOYMENT",218,462,2.4541284403669725
"AGE, EDUCATION, LGBT_IDENTITY",180,522,2.638888888888889
"AGE, EDUCATION, ETHNICITY_1",133,577,3.1578947368421053
"AGE, EDUCATION, GENDER",151,534,3.066225165562914
"AGE, EDUCATION, WORK_NIH_CAMPUS",148,507,3.310810810810811
"AGE, EMPLOYMENT, LGBT_IDENTITY",153,515,3.150326797385621
"AGE, EMPLOYMENT, ETHNICITY_1",109,556,4.045871559633028
"AGE, EMPLOYMENT, GENDER",125,524,3.784
"AGE, EMPLOYMENT, WORK_NIH_CAMPUS",149,492,3.389261744966443
"AGE, LGBT_IDENTITY, ETHNICITY_1",106,607,3.6792452830188678
"AGE, LGBT_IDENTITY, GENDER",115,582,3.608695652173913
"AGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",122,542,3.7295081967213113
"AGE, ETHNICITY_1, GENDER",65,630,5.6461538461538465
"AGE, ETHNICITY_1, WORK_NIH_CAMPUS",86,579,4.8604651162790695
"AGE, GENDER, WORK_NIH_CAMPUS",75,555,5.8933333333333335
"INCOME, LANGUAGE, RACE_1",106,740,2.4245283018867925
"INCOME, LANGUAGE, MARITAL_STATUS",97,756,2.484536082474227
"INCOME, LANGUAGE, EDUCATION",113,735,2.3185840707964602
"INCOME, LANGUAGE, EMPLOYMENT",110,730,2.4272727272727272
"INCOME, LANGUAGE, LGBT_IDENTITY",91,784,2.340659340659341
"INCOME, LANGUAGE, ETHNICITY_1",78,815,2.3333333333333335
"INCOME, LANGUAGE, GENDER",79,756,3.050632911392405
"INCOME, LANGUAGE, WORK_NIH_CAMPUS",80,753,3.05
"INCOME, RACE_1, MARITAL_STATUS",50,719,5.56
"INCOME, RACE_1, EDUCATION",58,703,5.068965517241379
"INCOME, RACE_1, EMPLOYMENT",61,703,4.819672131147541
"INCOME, RACE_1, LGBT_IDENTITY",52,726,5.211538461538462
"INCOME, RACE_1, ETHNICITY_1",33,775,6.7272727272727275
"INCOME, RACE_1, GENDER",23,721,12.0
"INCOME, RACE_1, WORK_NIH_CAMPUS",36,712,7.916666666666667
"INCOME, MARITAL_STATUS, EDUCATION",65,730,4.107692307692307
"INCOME, MARITAL_STATUS, EMPLOYMENT",58,719,4.793103448275862
"INCOME, MARITAL_STATUS, LGBT_IDENTITY",39,748,6.384615384615385
"INCOME, MARITAL_STATUS, ETHNICITY_1",31,792,6.612903225806452
"INCOME, MARITAL_STATUS, GENDER",32,737,8.125
"INCOME, MARITAL_STATUS, WORK_NIH_CAMPUS",31,737,8.387096774193548
"INCOME, EDUCATION, EMPLOYMENT",66,693,4.606060606060606
"INCOME, EDUCATION, LGBT_IDENTITY",46,752,5.326086956521739
"INCOME, EDUCATION, ETHNICITY_1",41,785,5.170731707317073
"INCOME, EDUCATION, GENDER",25,734,10.52
"INCOME, EDUCATION, WORK_NIH_CAMPUS",30,717,9.333333333333334
"INCOME, EMPLOYMENT, LGBT_IDENTITY",54,729,4.962962962962963
"INCOME, EMPLOYMENT, ETHNICITY_1",34,775,6.529411764705882
"INCOME, EMPLOYMENT, GENDER",28,721,9.857142857142858
"INCOME, EMPLOYMENT, WORK_NIH_CAMPUS",26,704,11.26923076923077
"INCOME, LGBT_IDENTITY, ETHNICITY_1",40,813,4.6
"INCOME, LGBT_IDENTITY, GENDER",28,747,8.928571428571429
"INCOME, LGBT_IDENTITY, WORK_NIH_CAMPUS",30,739,8.6
"INCOME, ETHNICITY_1, GENDER",20,794,10.15
"INCOME, ETHNICITY_1, WORK_NIH_CAMPUS",23,784,9.26086956521739
"INCOME, GENDER, WORK_NIH_CAMPUS",8,735,32.75
"LANGUAGE, RACE_1, MARITAL_STATUS",68,882,1.6911764705882353
"LANGUAGE, RACE_1, EDUCATION",74,875,1.6486486486486487
"LANGUAGE, RACE_1, EMPLOYMENT",73,870,1.7397260273972603
"LANGUAGE, RACE_1, LGBT_IDENTITY",68,901,1.411764705882353
"LANGUAGE, RACE_1, ETHNICITY_1",60,909,1.4666666666666666
"LANGUAGE, RACE_1, GENDER",56,881,2.0714285714285716
"LANGUAGE, RACE_1, WORK_NIH_CAMPUS",60,862,2.25
"LANGUAGE, MARITAL_STATUS, EDUCATION",70,881,1.6571428571428573
"LANGUAGE, MARITAL_STATUS, EMPLOYMENT",77,887,1.4285714285714286
"LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",70,900,1.3857142857142857
"LANGUAGE, MARITAL_STATUS, ETHNICITY_1",62,929,1.096774193548387
"LANGUAGE, MARITAL_STATUS, GENDER",62,900,1.564516129032258
"LANGUAGE, MARITAL_STATUS, WORK_NIH_CAMPUS",57,873,2.175438596491228
"LANGUAGE, EDUCATION, EMPLOYMENT",84,872,1.4880952380952381
"LANGUAGE, EDUCATION, LGBT_IDENTITY",70,887,1.5714285714285714
"LANGUAGE, EDUCATION, ETHNICITY_1",59,914,1.4067796610169492
"LANGUAGE, EDUCATION, GENDER",64,877,1.875
"LANGUAGE, EDUCATION, WORK_NIH_CAMPUS",63,849,2.3492063492063493
"LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",67,898,1.4776119402985075
"LANGUAGE, EMPLOYMENT, ETHNICITY_1",63,924,1.1587301587301588
"LANGUAGE, EMPLOYMENT, GENDER",60,889,1.8
"LANGUAGE, EMPLOYMENT, WORK_NIH_CAMPUS",64,870,1.984375
"LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",55,933,1.1636363636363636
"LANGUAGE, LGBT_IDENTITY, GENDER",53,904,1.7547169811320755
"LANGUAGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",62,877,1.935483870967742
"LANGUAGE, ETHNICITY_1, GENDER",48,936,1.2708333333333333
"LANGUAGE, ETHNICITY_1, WORK_NIH_CAMPUS",49,916,1.653061224489796
"LANGUAGE, GENDER, WORK_NIH_CAMPUS",49,862,2.7551020408163267
"RACE_1, MARITAL_STATUS, EDUCATION",38,875,3.210526315789474
"RACE_1, MARITAL_STATUS, EMPLOYMENT",31,865,4.258064516129032
"RACE_1, MARITAL_STATUS, LGBT_IDENTITY",27,889,4.0
"RACE_1, MARITAL_STATUS, ETHNICITY_1",24,905,3.8333333333333335
"RACE_1, MARITAL_STATUS, GENDER",13,872,9.615384615384615
"RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",21,859,6.571428571428571
"RACE_1, EDUCATION, EMPLOYMENT",35,860,3.914285714285714
"RACE_1, EDUCATION, LGBT_IDENTITY",30,867,4.333333333333333
"RACE_1, EDUCATION, ETHNICITY_1",24,898,4.125
"RACE_1, EDUCATION, GENDER",15,854,9.533333333333333
"RACE_1, EDUCATION, WORK_NIH_CAMPUS",19,839,8.31578947368421
"RACE_1, EMPLOYMENT, LGBT_IDENTITY",30,873,4.133333333333334
"RACE_1, EMPLOYMENT, ETHNICITY_1",23,891,4.608695652173913
"RACE_1, EMPLOYMENT, GENDER",17,857,8.235294117647058
"RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",19,844,8.052631578947368
"RACE_1, LGBT_IDENTITY, ETHNICITY_1",17,908,5.235294117647059
"RACE_1, LGBT_IDENTITY, GENDER",16,874,7.6875
"RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",18,859,7.666666666666667
"RACE_1, ETHNICITY_1, GENDER",10,897,10.0
"RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",14,884,8.071428571428571
"RACE_1, GENDER, WORK_NIH_CAMPUS",7,844,21.857142857142858
"MARITAL_STATUS, EDUCATION, EMPLOYMENT",30,871,4.2
"MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",30,884,3.7666666666666666
"MARITAL_STATUS, EDUCATION, ETHNICITY_1",22,922,3.409090909090909
"MARITAL_STATUS, EDUCATION, GENDER",17,873,7.294117647058823
"MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",19,860,7.2105263157894735
"MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",32,883,3.5625
"MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",21,915,3.9047619047619047
"MARITAL_STATUS, EMPLOYMENT, GENDER",20,871,6.3
"MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",15,851,9.733333333333333
"MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",17,931,3.8823529411764706
